PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET /images/linkedin-logo-button-gradient.svg HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 10:48:43 [error] 29905#29905: *26 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6e58b7bc6d.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru"
2018/10/29 10:48:49 [error] 29905#29905: *26 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6e591bb965.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru"
2018/10/29 10:54:20 [error] 29905#29905: *33 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6e6dc7cda1.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67
PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru"
2018/10/29 10:54:52 [error] 29905#29905: *33 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/ho" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru"
2018/10/29 10:54:52 [error] 29905#29905: *33 FastCGI sent in stderr: "me/statExport/www/runtime/debug/5bd6e6fc94b23.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru"
2018/10/29 10:54:52 [error] 29905#29905: *33 FastCGI sent in stderr: "PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru"
2018/10/29 10:57:15 [error] 29905#29905: *36 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6e78b93b2d.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru"
2018/10/29 10:57:15 [error] 29905#29905: *36 FastCGI sent in stderr: "PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru"
2018/10/29 11:00:02 [error] 29905#29905: *44 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6e8320e197.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 11:00:02 [error] 29905#29905: *44 FastCGI sent in stderr: "PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 11:02:29 [error] 29905#29905: *48 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6e8c5b4405.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 11:02:29 [error] 29905#29905: *48 FastCGI sent in stderr: "PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 11:07:25 [error] 29905#29905: *51 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6e9ede85d1.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 11:07:25 [error] 29905#29905: *51 FastCGI sent in stderr: "PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 11:07:40 [error] 29905#29905: *51 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6e9fc6f904.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 11:07:40 [error] 29905#29905: *51 FastCGI sent in stderr: "PHP message: PHP Warning:  touch(): Utime failed: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 85" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
2018/10/29 11:08:30 [error] 29904#29904: *58 FastCGI sent in stderr: "PHP message: PHP Warning:  file_put_contents(/home/statExport/www/runtime/debug/5bd6ea2e342cb.data): failed to open stream: Permission denied in /home/statExport/www/vendor/yiisoft/yii2-debug/src/LogTarget.php on line 67" while reading upstream, client: 149.126.169.175, server: startexport.ru, request: "POST /request/send HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php7.2-fpm.sock:", host: "www.startexport.ru", referrer: "http://www.startexport.ru/"
